"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.187075660E-1	-7.345599681E-2	-1.775000058E-2	1.250450015E-1	1.461064625E-1
6.235531070E-1	-8.551699668E-2	-1.988299936E-2	1.605010033E-1	1.829455177E-1
6.283986450E-1	-8.629100025E-2	-1.737399958E-2	1.968449950E-1	2.156291832E-1
6.332444180E-1	-7.694999874E-2	-1.307000034E-2	2.224729955E-1	2.357675994E-1
6.380899580E-1	-6.800799817E-2	-1.434999984E-2	2.354409993E-1	2.454862001E-1
6.429354970E-1	-5.842899904E-2	-2.112199925E-2	2.412180007E-1	2.490907678E-1
6.477811010E-1	-4.674300179E-2	-3.113500029E-2	2.513320148E-1	2.575307324E-1
6.526268700E-1	-3.822400048E-2	-4.310499877E-2	2.644659877E-1	2.706683834E-1
6.574724110E-1	-4.411499947E-2	-5.989500135E-2	2.545419931E-1	2.651889339E-1
6.623179390E-1	-6.204399839E-2	-8.539400250E-2	2.322369963E-1	2.550992275E-1
6.671634780E-1	-7.977099717E-2	-1.485079974E-1	1.542489976E-1	2.284968064E-1
6.720090910E-1	-9.299500287E-2	-1.848250031E-1	3.471399844E-2	2.097937416E-1
6.768546180E-1	-1.152580008E-1	-1.765269935E-1	-2.343400009E-2	2.121210469E-1
6.817001560E-1	-1.064449996E-1	-1.389230043E-1	-3.892200068E-2	1.792904381E-1
6.865459230E-1	-8.177199960E-2	-8.898399770E-2	-2.494500019E-2	1.233979935E-1
6.913914490E-1	-5.603199825E-2	-3.760299832E-2	1.100999955E-2	6.837243889E-2
6.962370620E-1	-3.537600115E-2	6.564999931E-3	4.552000016E-2	5.802267743E-2
7.010826030E-1	-2.166000009E-2	3.704800084E-2	6.795600057E-2	8.037243298E-2
7.059281460E-1	-1.451900043E-2	5.211300030E-2	7.792399824E-2	9.486156058E-2
7.107736850E-1	-1.448800042E-2	5.279999971E-2	7.785499841E-2	9.517952985E-2
7.156194520E-1	-2.001800016E-2	4.370899871E-2	7.256399840E-2	8.704441833E-2
7.204649970E-1	-3.242300078E-2	2.966699935E-2	6.813900173E-2	8.108209042E-2
7.253105360E-1	-4.732799903E-2	1.524200011E-2	6.440699846E-2	8.136657489E-2
7.301561490E-1	-5.963400006E-2	4.660000093E-3	5.695300177E-2	8.259282036E-2
7.350019220E-1	-6.494600326E-2	-4.849999968E-4	4.173000157E-2	7.719852068E-2
7.398472320E-1	-5.923499912E-2	-1.217999961E-3	1.895499974E-2	6.220579282E-2
7.446929990E-1	-4.425999895E-2	1.705999952E-3	-8.139000274E-3	4.503444535E-2
7.495385560E-1	-2.366000041E-2	7.876999676E-3	-3.734799847E-2	4.490785826E-2
7.543840940E-1	-1.815999974E-3	1.658100076E-2	-6.793399900E-2	6.995180957E-2
7.592297080E-1	1.814699918E-2	2.507600002E-2	-1.037639976E-1	1.082824388E-1
7.640754820E-1	3.086300008E-2	2.906399965E-2	-1.459659934E-1	1.519977371E-1
7.689207920E-1	3.222399950E-2	2.510300092E-2	-1.966450065E-1	2.008427380E-1
7.737665590E-1	2.137300000E-2	1.561299991E-2	-2.462549955E-1	2.476733609E-1
7.786120940E-1	-1.927000005E-3	2.593999961E-3	-2.840929925E-1	2.841113700E-1
7.834577080E-1	-2.848500013E-2	-7.054000162E-3	-3.030610085E-1	3.044784541E-1
7.883032480E-1	-5.681899935E-2	-1.183700003E-2	-3.091059923E-1	3.145075957E-1
7.931490290E-1	-8.772200346E-2	-1.489599980E-2	-3.147079945E-1	3.270445879E-1
7.979945700E-1	-1.172330007E-1	-1.479099970E-2	-3.149760067E-1	3.364108128E-1
8.028401080E-1	-1.347769946E-1	-7.362999953E-3	-2.869040072E-1	3.170693321E-1
8.076857030E-1	-1.438309997E-1	3.367000027E-3	-2.400580049E-1	2.798687887E-1
8.125312430E-1	-1.420720071E-1	1.482400019E-2	-1.878969967E-1	2.360285736E-1
8.173767820E-1	-1.370899975E-1	2.648000047E-2	-1.465499997E-1	2.024148222E-1
8.222225580E-1	-1.343169957E-1	3.548699990E-2	-1.226669997E-1	1.853309886E-1
8.270680980E-1	-1.348440051E-1	4.077599943E-2	-1.158830002E-1	1.824128767E-1
8.319136370E-1	-1.369899958E-1	4.130399972E-2	-1.202249974E-1	1.868858725E-1
8.367592410E-1	-1.381949931E-1	3.929999843E-2	-1.273380071E-1	1.919825879E-1
8.416047820E-1	-1.353289932E-1	3.603700176E-2	-1.324529946E-1	1.927599483E-1
8.464503200E-1	-1.296519935E-1	3.297999874E-2	-1.318210065E-1	1.878139971E-1
8.512960630E-1	-1.193640009E-1	3.142800182E-2	-1.248660013E-1	1.755762008E-1
